	berger_parker_d	berger_parker_d	berger_parker_d	berger_parker_d	berger_parker_d	berger_parker_d	berger_parker_d	berger_parker_d	observed_features	observed_features	observed_features	observed_features	observed_features	observed_features	observed_features	observed_features	robbins	robbins	robbins	robbins	robbins	robbins	robbins	robbins	shannon_entropy	shannon_entropy	shannon_entropy	shannon_entropy	shannon_entropy	shannon_entropy	shannon_entropy	shannon_entropy	faith_pd	faith_pd	faith_pd	faith_pd	faith_pd	faith_pd	faith_pd	faith_pd
	count	mean	std	min	25%	50%	75%	max	count	mean	std	min	25%	50%	75%	max	count	mean	std	min	25%	50%	75%	max	count	mean	std	min	25%	50%	75%	max	count	mean	std	min	25%	50%	75%	max
dataset																																								
471_swedish_NB	246.0	0.5266620002408561	0.2119176298080788	0.0994162611356374	0.36539907677111316	0.4983606234630401	0.6495887390024698	0.996358399004902	246.0	78.5691056910569	71.90294834303693	13.0	36.0	55.0	90.75	437.0	246.0	4.299926100035344e-05	6.499365126145955e-05	0.0	1.0889802172405612e-05	2.412747136327858e-05	5.0314100181321375e-05	0.0005841121495327	246.0	2.0907788190361645	1.0669830924672836	0.0518700987944943	1.4284145398920698	2.0549755722908714	2.6249211142287407	6.766457221928032	246.0	9.528776420991106	5.713343084642679	2.243979790445865	5.809177384394096	7.95244107490568	11.204523445712987	33.58995336433397
514_imp_project_Hmong2nd	54.0	0.13964361805573594	0.05364625629071352	0.0632333091060118	0.10651229193523483	0.12892044010642045	0.17013868999282286	0.3259668508287293	54.0	149.0	58.5703898402404	61.0	106.25	133.0	189.0	311.0	54.0	0.0013139840045408146	0.000777197410524632	0.0003250975292587	0.000787657678088875	0.0010267382857098999	0.0018961553360065	0.003411513859275	54.0	5.2845680755579245	0.5385600667278313	4.039721377329332	4.892750977464497	5.244458635325316	5.590546711360332	6.528069950995691	54.0	15.970788551147438	3.898601674035604	10.107452082222649	13.191668712699173	15.019721216859189	18.417757412405006	26.23046837939528
514_imp_project_HmongThai	96.0	0.1253686711946805	0.04333383693969637	0.0586927832187261	0.09750460626119678	0.12289089110442311	0.14689568743481124	0.2881504153913424	96.0	173.3125	52.92384051386333	35.0	137.0	178.0	209.25	311.0	96.0	0.0017655664141038969	0.0012293892629783372	0.0002151771625304	0.000967689861414625	0.0013679435386883	0.0021865889212827	0.0070019096117122	96.0	5.581781253997836	0.4353580394256648	4.312088672554311	5.330625454777852	5.584892060143215	5.813644409226749	6.576432928343621	96.0	18.416926201602845	4.216463864238164	8.56914320477022	14.997640366290788	18.151607661405432	21.548155182571406	31.71824412825369
514_imp_project_KarenThai	87.0	0.12270941724261182	0.0665187685567882	0.0532904148783977	0.08885804175603834	0.1108700891781152	0.13358303626116697	0.5454545454545454	87.0	212.97701149425288	75.34046397451515	3.0	161.5	201.0	266.5	390.0	87.0	0.002022685815014328	0.0013988742158900834	0.0	0.00098903497948695	0.0017736214124475	0.00267109046081925	0.0056899004267425	87.0	5.710815746643164	0.7790491880277994	1.4353713907745334	5.424391226701332	5.766791149021689	6.128102485130926	6.667767966617203	87.0	21.55988083903814	5.5793360348579935	5.227829377974347	17.72150587726071	21.632386217848254	25.796064962863134	34.50663260387027
888_AGP_Normal	1724.0	0.2885149737904958	0.19662323648996108	0.0412962962962962	0.1385185185185185	0.23	0.3818981481481481	0.9916666666666668	1724.0	173.12935034802786	59.60162853100179	20.0	133.0	170.5	213.0	390.0	1724.0	0.007485498839907144	0.00317385515262317	0.0003703703703703	0.0051851851851851	0.0072222222222222	0.0094444444444444	0.0187037037037037	1724.0	4.58288356603603	1.273906294820022	0.1023601873471913	3.831559969897106	4.864188278269075	5.544261816790261	7.197113739894923	1724.0	24.60938581713987	6.464039284582137	7.970223263511825	20.316956268964198	24.3582880618376	29.02279591686517	48.18409532505968
888_AGP_Overweight	715.0	0.31714270914270914	0.21743681475123805	0.0516666666666666	0.15240740740740735	0.2388888888888889	0.43435185185185177	0.9801851851851852	715.0	160.5132867132867	56.94599908695533	17.0	119.5	156.0	201.5	342.0	715.0	0.006809116809116759	0.0029830516083149965	0.0005555555555555	0.0046296296296296	0.0062962962962962	0.0088888888888888	0.0183333333333333	715.0	4.373925815765275	1.3587888865817197	0.2391834754428839	3.5808819037670525	4.755658771380524	5.35318911709582	6.7807914635734985	715.0	22.984176201364477	6.147895549438526	6.600084172810268	18.69558546012224	22.73477941943838	27.192689704746826	43.864763246342704
95_obese_M0_inulin	48.0	0.18102542745230057	0.08209887374673651	0.059485501318062	0.10960135102693	0.16783208691402296	0.24047181256270606	0.3625657867615736	48.0	172.3125	45.63786979663345	61.0	145.0	168.0	196.75	281.0	48.0	0.0001662341526032619	9.715916073922466e-05	3.5569467169381804e-05	0.00010032762143531013	0.0001383871481448	0.00022330019717440002	0.0004480132336216	48.0	5.090857405611875	0.5563270302875647	3.4276040526356675	4.773851068133081	5.1077136422427465	5.39320959933467	6.2486738459692575	48.0	16.520526970487605	3.528742153560868	9.098969490845889	13.736886409423546	15.789102593033014	19.138689754915767	24.119656808608497
95_obese_M0_placebo	47.0	0.16088591132261207	0.08900488032357269	0.0511226642555756	0.08903158918130599	0.1321803143563653	0.23079256655217173	0.3874738965141807	47.0	192.0212765957447	52.996098856303085	82.0	160.5	186.0	207.0	324.0	47.0	0.0001949088722471099	0.0001155194842379164	5.04430581944748e-05	0.00011703132023045	0.0001545734417064	0.00024393809402090003	0.0005826293229014	47.0	5.2528330905877825	0.5674767554905376	4.100020877012742	4.833941345688604	5.37056485806346	5.725299123124521	6.333531835244166	47.0	17.109610624416703	3.52522845515544	10.467545221189612	14.274240499367433	17.317590942860264	19.697288241669092	24.661768415888243
95_obese_M3_inulin	48.0	0.19260042907177874	0.08736209328606355	0.0545256546624119	0.12743840646155977	0.18096612981051535	0.2547098933637601	0.373922270858204	48.0	167.4375	49.18912968048331	62.0	134.75	159.0	199.0	268.0	48.0	0.00018162226231896702	0.00013930944748190557	1.3056193858366409e-05	8.999460427779255e-05	0.00013593267072909999	0.00025339448101135	0.0006519511967961	48.0	5.018879676365682	0.6018647304142501	3.536643805560612	4.588042719167601	5.071245981933755	5.395352990117756	6.2629101197544985	48.0	15.786143975094035	3.591362837467648	9.51982722307268	12.852814832235314	15.168067031362249	19.154099323485184	22.102902570630903
95_obese_M3_placebo	47.0	0.16645294422012336	0.09195838621838102	0.0575654439262153	0.1018212172248846	0.1343794306903697	0.21383340941186935	0.4015544503271119	47.0	192.46808510638297	51.8026569168491	76.0	159.0	195.0	221.5	322.0	47.0	0.00018375679227155566	0.00010562826147939726	3.0788177339901475e-05	0.00011636645761414999	0.0001662448972052	0.000216694222867	0.0004919242436664	47.0	5.214661096328068	0.5794359336717594	3.8337510448575287	4.872607915669245	5.279871303833932	5.598461307218022	6.197229276282307	47.0	16.452581377492923	3.14414895858676	9.363614848491652	14.020358134865798	16.035879766603756	18.662798357993083	21.99232421671076
